scheme_name,slug,details,benefits,eligibility,application,documents,level,schemeCategory,Unnamed: 9,tags
Mahila Kisan Yojana (Maharashtra),mkym,"The scheme ""Mahila Kisan Yojana"" is implemented by the Department of Social Justice & Special Assistance, Government of Maharashtra, in collaboration with the National Scheduled Castes Finance and Development Corporation (NSFDC). The scheme aims to uplift the lifestyle of economically disadvantaged Charmakar communities (such as Dhor, Chambhar, Holar, and Mochi). The scheme promotes educational, economic, and social development to ensure a respectable place in society. Additionally, it supports the production and sale of various types of footwear and leather articles to government departments and the open market.","Total Loan Amount: The scheme provides financial assistance of ₹50,000 for eligible female beneficiaries. Subsidy Provided: A subsidy of ₹10,000 is granted, reducing the effective loan burden on the beneficiary Loan Component: The remaining ₹40,000 is provided as a loan with an affordable interest rate of 5% per annum.","The applicant should be a permanent resident of Maharashtra. The applicant should be a female. The applicant should belong to the Charmakar Community. The applicant's age should be between 18 to 50 years. The applicant must have knowledge of the business for which they are applying for a loan. The applicant must have her own name, or joint name with her husband, or her husband’s name (with affidavit) on the 7/12 land extract for agricultural project loans. For the 50% Subsidy Scheme and Margin Money, her annual income must be below the poverty line. For the NSFDC Scheme, the income limit is ₹98,000 for rural areas and ₹1,20,000 for urban areas.","Step 1: The interested applicant should visit (during office hours) the District Office of  Leather Industries Development Corporation of Maharashtra (LIDCOM),  and request the hard copy of the prescribed format of the application form from the concerned authority. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents, within the prescribed period (if any), to the District Office of  Leather Industries Development Corporation of Maharashtra (LIDCOM). Step 4: Request a receipt or acknowledgement from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable). NOTE: Ensure that the application is submitted within the prescribed period, if any.","Completed application form from the LIDCOM District Office. Recent passport-size photograph. Valid Income Certificate (issued by an authorized government officer). Caste Certificate (Charmakar Community). Proof of Residence (Maharashtra). 7/12 Land Extract: Applicant’s name, joint name with husband, or husband’s name (with affidavit) for agricultural loans. Knowledge or experience proof relevant to the proposed business/project.",State,"Social welfare & Empowerment, Skills & Employment, Women and Child",,"Employment, Charmakar, Subsidy, Loan, Woman, Scheduled Caste, Farmer"
Mahila Samridhi Yojana (Maharashtra),msym,"The scheme ""Mahila Samridhi Yojana"" is administered by the Department of Social Justice & Special Assistance, Government of Maharashtra, and funded by the National Scheduled Castes Finance and Development Corporation (NSFDC). The scheme aims to uplift economically weaker women from the Charmakar Community. The scheme focuses on providing educational, economic, and social development to ensure a respectable position in society for Charmakars (Dhor, Chambhar, Holar, Mochi, etc.). Eligible female beneficiaries from the Charmakar Community are granted loans ranging from ₹25,000/- to ₹50,000/- at a low interest rate of 4% per annum.","Loan ranging from ₹25,000/- to ₹50,000/- is provided at a low interest rate of 4% per annum.","The applicant should be a female. The applicant should belong to the Charmakar Community. The applicant's age should be between 18 and 50 years. The applicant should be a permanent resident of Maharashtra. The applicant must have knowledge of the business for which the loan is being applied. For the 50% Subsidy Scheme and Margin Money, the applicant's annual income must be below the poverty line. For the NSFDC Scheme, the applicant's annual income should be below ₹98,000 for rural areas and ₹1,20,000 for urban areas. Relaxation/Preference/Priority Widows and divorcees are given priority.","Step 1: The interested applicant should visit (during office hours) the District Office of LIDCOM and request the hard copy of the prescribed format of the application form from the concerned authority. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents, within the prescribed period (if any), to the District Office of LIDCOM. Step 4: Request a receipt or acknowledgement from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable). NOTE: Ensure that the application is submitted within the prescribed period, if any.",The applicant must provide an income and caste certificate issued by an authorized government officer.,State,"Banking,Financial Services and Insurance, Women and Child",,"Woman, Charmakar, Subsidy, Widow, Divorcee"
Maintenance Allowance To Backward Class Students Under Training In Sainik Schools,mabcstss,"The scheme “Maintenance Allowance to Backward Class Students Under Training in Sainik School” is a Scholarship Scheme by the Social Justice and Special Assistance Department, Government of Maharashtra. VJNT and SBC students are paid maintenance so that a maximum number of students can be admitted to Sainik School with a view to seeking admission in N.D.A. The State Government introduced in 2003-04 the scheme to create self-employment for unemployed youths and students of VJNT and SBC who apply for Vocational Training. He will be given Vocational Training in Government I.T.I and undergo short-duration vocational training courses. The short-duration vocational courses will enable the youths to create their own employment in the service sector.","The training fees ₹400/- to ₹2400/- (as per course) are paid to the concerned I.T.I. After completion of training, one Tool Kit of ₹1000/- is provided to the trainee through the concerned Govt. I.T.I. ﻿","1)	The applicant should be a citizen of India. 2)	The applicant should be a domicile / permanent resident of the state of Maharashtra. 3)	The applicant should belong to Vimukta Jatis, Nomadic Tribes, or Special Backward Class. 4)	The applicant should be studying in Classes 5th to 12th. 5)	The applicant should be studying in a Sainik School recognized/approved by the Govt. of Maharashtra. 6)	The applicant should not already be availing the benefits of the scheme. ﻿","Step 1: Visit the official website of Aaple Sarkar / Maha DBT . ﻿ Step 2: Click on ""New Applicant Registration"". Register using your Name, Mobile Number, and Email ID. Create a Username and Password. Your Mobile Number and Email ID will be verified via OTP. ﻿ Note: The username should contain only alphabets and numbers. The username should be greater than 4 characters and less than 15 characters. ﻿ Note: Password Length should be a minimum of 8 characters and a maximum of 20 characters. Password must contain at least 1 UpperCase Alphabet, 1 LowerCase Alphabet, 1 Number, and 1 Special Character. ﻿ Step 3: Now visit Login Page and login using your Username and Password. ﻿","1)	The applicant should be a citizen of India. 2)	The applicant should be a domicile / permanent resident of the state of Maharashtra. 3)	The applicant should belong to Vimukta Jatis, Nomadic Tribes, or Special Backward Class. 4)	The applicant should be studying in Classes 5th to 12th. 5)	The applicant should be studying in a Sainik School recognized/approved by the Govt. of Maharashtra. 6)	The applicant should not already be availing the benefits of the scheme. ﻿",State,"Education & Learning, Social welfare & Empowerment",,"Vimukta Jatis, Nomadic Tribes, Other Backward Class, School, Social Welfare, Allowance"
Maintenance Allowance To VJNT And SBC Students Studying In Professional Courses And Living In Hostel Attached To Professional Colleges,pmavssspc,"The government of Maharashtra introduced the scheme to complete the education of V.J.N.T and S.B.C students who are students of professional courses such as Medical, Engineering, Animal Husbandry, etc. Professional courses are divided into A, B, and C categories and accordingly, maintenance allowance is given to the students through the concerned Principal of the college. For 4 to 5 years course (Medical, Engineering, Agriculture, etc.) Rs. 700/- per month, for 2 to 3 years course (Engineering Dip., M.B.A, M.S.W, etc.) Rs. 500/- and for 2 years and lesser duration courses (B.Ed., D.Ed.) Rs. 500/- per month for 10 months as maintenance allowance in addition to other Government Scholarships.","Professional courses are divided into A, B, and C categories and accordingly, maintenance allowance is given to the students through the concerned Principal of the college. For 4 to 5 years course (Medical, Engineering, Agriculture, etc.) Rs. 700/- per month, for 2 to 3 years course (Engineering Dip., M.B.A, M.S.W, etc.) Rs. 500/- and for 2 years and lesser duration courses (B.Ed., D.Ed.) Rs. 500/- per month for 10 months as maintenance allowance in addition to other Government Scholarships.","Students should belong to VJNT or SBC category. Students should be studying in professional courses such as Medical, Engineering, Animal Husbandry, etc. Students should submit an Application form for admission in Govt. Hostel. Students should have been admitted to the hostels attached to professional colleges or approved private hostels.","Step 1: Visit the official website to register yourself by clicking on “ New Applicant registration ” and fill in all the mandatory details (Applicant’s Name, Username, Password, Email, and Mobile Number) ﻿ ﻿ ﻿ Step 2: Now, you may Login by filling Login details . ﻿ ﻿ Step 3: Create your profile by filling in all your updated personal details like address, qualifications, etc. Step 4: After filling in 100% of the profile information, you may apply for the eligible schemes. After Scrutiny concerned college should forward his application to the concerned Asstt. Commissioner Social Welfare for sanction. ﻿","Aadhaar Number. Domicile Certificate of Maharashtra. Caste Certificate VJNT or SBC Community (duly signed by an authorized Revenue Officer, not below the rank of Tehsildar). Family Income Certificate. Marksheet of the Latest Educational Qualification. Bank Account Details. Passport-sized Photograph.",State,Social welfare & Empowerment,,"Maintenance, Vimukta Jati And Nomadic Tribes, Special Backward Classes, Professional Courses, Education"
Matrimonial Incentives,mi-maha,"The ""Matrimonial Incentives"" is a scheme by the Department of Social Justice & Special Assistance, Govt. of Maharashtra. In this scheme, if a Person with Disability (PwD) gets married to a non-disabled person, then the couple is provided a marriage incentive of up to ₹ 50,000. Only citizens who are permanent residents of the state of Maharashtra are eligible to apply for this scheme. This scheme is 100% funded by the Govt. of Maharashtra.","The eligible couple will get up to ₹ 50,000/- as financial assistance. The nature of financial assistance is as below – Saving Certificate of ₹ 25,000/-. ₹ 20,000/- in cash. ₹ 4,500/- in the form of household utility. ₹ 500/- to attend the marriage incentive program.","The applicant should be a citizen of India. The applicant should be a permanent resident of Maharashtra State. The applicant should be a Person with Disability (Visually Handicapped, Low Vision, Hearing Impaired, Orthopedically Handicapped, etc). The percentage of the disability should be 40% or above. The applicant should have been married to a non-disabled person.","Step 1: Visit the District Social Welfare Office , and request a hard copy of the format of the application form for the scheme from the concerned authority. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across), and attach all the (self-attested) mandatory documents. Step 3: Submit the duly filled and signed application form along with the documents to the District Social Welfare Office. Step 4: Acquire the receipt/acknowledgment of the successful submission of the application form from the District Social Welfare Office.","Aadhaar Card 2-Passport Sized Photograph (Signed Across). Residential Certificate / Domicile Certificate of the State of Maharashtra. Disability Certificate. Details of the Bank Account (Bank Name, Branch Name, Address, IFSC, etc). Proof of Age (Birth Certificate, Marksheet of Class 10th/12th, etc). Proof of Marriage. Any other document required by the District Social Welfare Office.",State,"Social welfare & Empowerment, Banking,Financial Services and Insurance",,"Person With Disability, Marriage, Incentive, Financial Assistance, Social Welfare"
Medical Assistance for the Treatment of Critical Illness,matci,"The ""Medical Assistance for the Treatment of Critical Illness"" scheme was launched by the Maharashtra Building And Other Construction Workers Welfare Board (MBOCWW), Labour Department Maharashtra. Under this scheme, medical assistance of ₹1,00,000/- for the treatment of serious ailments for registered worker and his/her family members. (the benefit can be availed only after 26th July 2014 as the benefit is covered under the Mediclaim & Personal Accident Insurance scheme). ﻿","Financial assistance of ₹1,00,000/- is provided for medical treatment.",The worker must be engaged in building or construction work. The worker should be registered under the Maharashtra Building and Other Construction Workers Welfare Board (MBOCWW). The worker or family member must be undergoing treatment for a serious illness or critical medical condition.,"Step-1: The interested applicant downloads the application form from the MBOCWW official website. Step-2: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attest, if required). Step-3: Submit the duly filled and signed application form along with the documents to the Labor Commissioner / Government Labor Officer. Step-4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable). ﻿",Passport-size Photo. Aadhaar Card. Identity Card of Maharashtra Building and Other Construction Workers Welfare Board. Bank Passbook. Medical Certificate (issued by competent medical authorities about serious illness). Medical Treatment Papers. Proof of Residence (One of Aadhaar Card/Passport/Driving Licence/Ration Sheet/Last Month's Electricity Bill/Gram Panchayat Certificate). ﻿,State,Health & Wellness,,"Financial Assistance, Illness, Construction Worker, Medical Treatment"
Merit Awards,ma-maha,"The ""Merit Awards"" is a scheme by the Department of Social Justice & Special Assistance, Govt. of Maharashtra. In this scheme, awards are given to the students with disability who rank 1st, 2nd, and 3rd among disabled students in the Secondary School Certificate (S.S.C.) and Higher Secondary Certificate (H.S.C.) in their respective divisional boards of education. Only citizens who are permanent residents of the state of Maharashtra are eligible to apply for this scheme. This scheme is 100% funded by the Govt. of Maharashtra.","The quantum of the award is ₹1,000/- cash amount, certificate. The beneficiary is also provided travel expenses to attend the place of the award, and felicitation up to an amount ₹100/- per student.","The applicant should be a citizen of India. The applicant should be a permanent resident of Maharashtra State. The applicant should be a Person with Disability (Visually Handicapped, Low Vision, Hearing Impaired, Orthopedically Handicapped, etc). The applicant should have ranked 1st, 2nd, and 3rd among disabled students in the Secondary School Certificate (S.S.C.) and Higher Secondary Certificate (H.S.C.) in their respective divisional boards of education.","Step 1: Visit the District Social Welfare Office , and request a hard copy of the format of the application form for the scheme from the concerned authority. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across), and attach all the (self-attested) mandatory documents. Step 3: Submit the duly filled and signed application form along with the documents to the Regional Deputy Commissioner, District Social Welfare Office. Step 4: Acquire the receipt/acknowledgment of the successful submission of the application form from the District Social Welfare Office.","Proof reg. the Latest Educational Qualification. Proof of securing 1st, 2nd, and 3rd among disabled students in the Secondary School Certificate (S.S.C.) and Higher Secondary Certificate (H.S.C.) in their respective divisional boards of education. Bonafide Certificate from the Institution. Aadhaar Card. 2-Passport Sized Photograph (Signed Across). Residential Certificate / Domicile Certificate of the State of Maharashtra. Disability Certificate. Details of the Bank Account (Bank Name, Branch Name, Address, IFSC, etc). Any other document required by the District Social Welfare Office.",State,"Social welfare & Empowerment, Education & Learning",,"Education, Award, Student With Disability, School"
Meritorious Scholarships To Vjnt And Sbc Students Studying In Secondary Schools,msvss,The government of Maharashtra introduced the scheme of Meritorious Scholarships to VJNT and SBC students studying in Secondary Schools. To motivate Backward Class students for education. The students will get ₹ 200/- for 5th to 7th and ₹ 400/- for 8th to 10th standard per annum.,The students will get ₹ 200/- for 5th to 7th standard per annum. The students will get ₹ 400/- for 8th to 10th standard per annum.,Students who secured more than 50 percent marks in the previous year’s annual examination and stood first or second in the class. He should belong to VJNT / SBC category. He should be studying in 5th to 10th standard. There is no income limit for this scholarship.,"The students should contact the school principal for application. The application will be submitted by Head Master of the concerned School through the concerned Block Education Officer to District Social Welfare Officer, Zillah Parishad concerned. For Mumbai City, only proposals are to be submitted to the Assistant Commissioner of Social Welfare, Mumbai City.",Caste Certificate Domicile Certificate Residence Proof Aadhar card Bank Details School Marksheet Passport size photograph,State,Social welfare & Empowerment,,"Students, Vimukta Jati And Nomadic Tribes, Special Backward Class, Scholarship"
Micro Credit Finance,mcf,"The ""Micro Credit Finance"" scheme, implemented by the Department of Social Justice & Special Assistance of the Government of Maharashtra and funded by the National Scheduled Castes Finance and Development Corporation (NSFDC), aims to uplift the lifestyle of economically disadvantaged Charmakars (Dhor, Chambhar, Holar, Mochi, etc.) who are below the poverty line. This initiative focuses on developing their educational, economic, and social standing, enabling them to secure a respectable place in society while promoting the production of various footwear and leather articles for government supply and open market sales.","Financial support ranging from ₹25,000 to ₹50,000 to invest in income-generating activities. A low interest rate of 5% per annum, making it easier to repay the loan. ₹10,000 provided as a subsidy to reduce the financial burden.","The applicant should belong to the Charmakar Community. The applicant should be between 18 to 50 years of age. The applicant should be a permanent resident of Maharashtra. The applicant should belong to a Below Poverty Line (BPL) category. The applicant should be able to provide an Income and Caste Certificate from an authorized government officer. The applicant must have knowledge of the business for which they are applying for the loan. For the 50% Subsidy Scheme and Margin Money, the annual income must be below the poverty line. For the NSFDC Scheme, the annual income should be ₹98,000 for rural areas and ₹1,20,000 for urban areas.","Step 1: The interested applicant should visit (during office hours) the District Office of the Leather Industries Development Corporation of Maharashtra (LIDCOM), and request the hard copy of the prescribed format of the application form from the concerned authority. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents, within the prescribed period (if any), to the concerned authority. Step 4: Request a receipt or acknowledgement from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable). NOTE: Ensure that the application is submitted within the prescribed period, if any.",Passport-size photograph Aadhaar Card Income certificate Caste certificate Residence proof Bank passbook/bank details Any other documents as required,State,"Banking,Financial Services and Insurance, Business & Entrepreneurship",,"BPL, Below Poverty Line, Financial Assistance, Employment, Credit"
Mukhyamantri - Majhi Ladki Bahin Yojana,mmlby,"The ""Mukhyamantri - Majhi Ladki Bahin Yojana"" scheme was launched by the Women and Child Development Department, Government of Maharashtra. The scheme aims to give economic freedom to women in the state age group of 21 to 65 years, improving their health and nutrition and strengthening their decisive role in the family. The women will get a financial benefit of ₹1,500/- through direct benefit transfer (DBT).","Financial Assistance of ₹1,500/- per month.","The applicant should be a female. The applicant should be a resident of Maharashtra state. The applicant's age should be between 21-65 years. The applicant should have their bank account with an Aadhaar link. The annual income of the applicant's family should not exceed ₹2,50,000/-. Outsourced employees, voluntary workers, and contract workers with income up to ₹2,50,000/- are eligible. The applicant should be any one of the following: Married Woman Widowed Divorced Woman Abandoned and Destitute Women One Unmarried Woman in the family","Registration Process: Step 01: The interested applicant visit the official website . Step 02: Select "" Applicant Login "" and click on "" Create Account ."" Step 03: Complete the registration form with the following details: Full Name as per Aadhaar, Mobile No, Password, Confirm Password, District, Taluka, Village, Municipal Corporation / Council, Authorized Person & Accept Terms and Conditions. Step 04: Enter the Captcha code and click ""Sign-up."" You will receive an OTP. Step 05: Enter the OTP and the Captcha code again. Step 06: Click "" Verify the OTP "" to receive a message confirming that your login was successful. ﻿ Application Process: Step 01: Log in to the portal using your Mobile number, Password, and Captcha to log in. Step 02: Click on "" Application of Mukhyamantri - Majhi Ladki Bahin Yojana "" and enter your Aadhaar Number and Captcha. Step 03: Click on "" Valid Aadhaar "" and complete the registration form with the applicant's name, bank details, and permanent address. Step 04: Upload relevant documents such as an Aadhaar card, Domicile certificate, Ration card, etc. Step 05: Click "" Submit "" to receive your application ID via SMS. ﻿ Check the Status: Step 01: Log in to the portal using your Mobile number, Password, and Captcha to log in. Step 02: Click on "" Applications Made Earlier "" to view the status of your applications.","Photograph of the Beneficiary Woman Aadhaar Card Domicile Certificate (If the Domicile Certificate is not available, any one of the following can be submitted: Ration Card issued before 15 years, Voter ID card issued before 15 years, Birth Certificate, or School Leaving Certificate). For Women Born Abroad (Submit the Husband's Ration Card issued before 15 years, Voter ID card issued before 15 years, Birth Certificate, School Leaving Certificate, or Domicile Certificate). Income Certificate (Not required if the woman has a Yellow or Orange Ration Card. Required if the woman has a White Ration Card or no Ration Card). Marriage Certificate (If your name is not listed on the Ration Card and you are newly married, your husband’s Ration Card can be used as proof of income) Bank Account Details (account should be Aadhaar-linked) Affirmation Letter",State,"Social welfare & Empowerment, Women and Child",,"Female, Financial Assistance, Health, Nutrition"
Mukhyamantri Yuva Karya Prashikshan Yojana,mmykpy,"The Mukhyamantri Yuva Karya Prashikshan Yojana scheme was launched by the Department of Skill, Employment, Entrepreneurship and Innovation to enhance candidates' employability through practical training with entrepreneurs. The scheme budget of ₹5,500 crore, and the training programs for approximately 10 lakh candidates per year. ﻿ Training Duration: Job Training will be for 6 months. ﻿","Stipend: 12th Pass - 6,000/- ITI / Diploma - 8,000/- Degree / Post Graduation - 10,000/- ﻿ Note: Stipends are transferred directly to trainees' bank accounts linked with Aadhaar. ﻿",The candidate should be a resident of Maharashtra. The candidate's age should be between 18 to 35. The candidate should have minimum education criteria of 12th Pass/ITI/Diploma/Graduation/Post Graduation. The candidate should be registered with Aadhaar. The candidate's bank accounts should be linked with Aadhaar. ﻿ ﻿,"Registration Process for Candidate: Go to the official CMYKPY website for job seeker registration and click on “ Intern Login ”. Use your Aadhaar number as the username for your account. Fill in your full name, date of birth, gender, email, and mobile number. Create a secure password and confirm it. After completing all required fields, submit the registration form to finish the process. ﻿ Log In Process: Fill Your Aadhar Number as a User Name and Password. Complete your profile details, and fill in the personal, address, qualification, and bank details. Upload the photo, qualification document, birth certificate, etc. Click on “Submit” and apply for the job. ﻿",Passport-size Photograph Aadhaar Card Bank Passbook or Cancelled Cheque Living Certificate Birth Certificate Education Certificate Domicile Certificate or SSC Passing Certificate ﻿,State,Skills & Employment,,"Vocational Training, Specially-Abled Person, Student, Stipend"
Namo Shetkari Mahasanman Nidhi Yojana,namo-shetkari-mahasanman-nidhi-yojana,"•	Under this scheme an amount of Rs. 6000/- will be transferred annually in three equal instalments •	Government Resolution No Kisani-2023/CR 42/11 A dated 15/06/2023 has been issued regarding the scheme. •	Farmers which are eligible for PM Kisan Yojana will be eligible for the benefit of ""Namo Shetkari Mahasanman Nidhi Yojana"" ﻿","1) Eligible Farmers families as per PM KISAN will be Benefited Rs. 2000/- per Instalment. 2) The beneficiaries benefited in PM KISAN will get the benefit of NSMNY. 3) The NSMNY beneficiaries will be benefited from the list provided by GoI. 4) First instalment of NSMNY is given as per the list of 14th instalment of PMKISAN. 5) Eligible farmers family will get Rs. 2000/- from PMKISAN & NSMNY at each instalment. 6) Eligible farmers will get Rs. 12,000/- in a year from both PM KISAN & NSMNY schems. 7) Farmers will be benefited through DBT. 8) The benefit of the NSMNY will be credited only in Aadhar linked bank accounts. 9) The benefit credited to the ineligibles in NSMNY will be recovered as per the SoP of PMKISAN ﻿","Cultivable land holding farmers families (comprising of husband, wife and minor children) having land holding on dated 01.02.2019 are eligible for both PM KISAN & NSMNY scheme.",Step 01: Self Registration on PMKISAN Portal Step 02: Verification of eligibility of registered beneficiary. Step 03: Approval at Taluka Nodal Officer level. Step 04: Approval at District Nodal Officer level. Step 05: Final Approval at State Nodal Officer level. Note : - No need of approval at district and state level in case of direct registration at TNO login. ﻿,"1.	Aadhar Card, 2.	7/12, 3.	8-A, 4.	Ferfar, 5.	Ration card etc ﻿",State,"Agriculture,Rural & Environment",,"PM KISAN TOP UP, Direct Benefit Transfer, Agriculture Land Holder, Family Scheme"
Nanaji Deshmukh Krishi Sanjivani Prakalp,pocra,"The Nanaji Deshmukh Krishi Sanjivani Prakalp was conceptualised by the Department of Agriculture, Government of Maharashtra and the World Bank to develop a drought-proofing and climate-resilient strategy for the agriculture sector as a long-term and sustainable measure, to address the likely impacts of climate variabilities and climate change. The project focuses on the evidence-based scientific implementation of this plan. ﻿ The project has introduced transformational changes in the agriculture sector by scaling up the adoption of climate-smart technologies and practices at the farm and micro-watershed level, contributing to drought-proofing and creation of new opportunities in villages worst hit by drought and salinity/sodicity affected villages in the state. The project is supporting investments by farmers, farmers’ collectives, and communities for accessing water, optimal utilization of natural resources, value addition of agriculture commodities, and adoption of climate-resilient agriculture technologies. The project has taken a gender-sensitive approach to prioritize the needs of the women stakeholders in the planning and implementation of project interventions which is being driven through “Krushi Tais” (female mobilizers) at the village level. ﻿ Direct Benefit Transfer portal and mobile application allow farmers to apply for matching grants for their farm-level investments aimed at improving incomes. The DBT portal is a workflow-based end to end online system through which the project officials can verify the eligibility and assets created and transfer the matching grants directly to the farmer’s Aadhar linked bank account. Another module of this portal allows the farmers’ collectives to receive matching grants for their value chain based agribusiness proposals. ﻿","1)	Back ended financial subsidies for Farmers to adopt climate resilient agricultural initiatives in their farms 2)	Financial assistance available for protected cultivation techniques such as Poly House, Poly Tunnels, etc. 3)	Subsidy also available for on farm water conservation activities such as Drip, Sprinklers, Farm Pond, Farm Pond linings, etc. 4)	Climate Resilient seed production also covered 5)	Special assistance for Farmer Producing Organizations/companies and Self Help Groups 6)	Disbursement through Aadhaar enabled payment system 7)	Privilege given to women, person with disabilities and landless labourers ﻿","1)	Farmers producer companies under the project in the district, registered farmer groups/self-help groups in the project village. 2)	In the project, FPC’s registered with a minimum of 100 members from the district will be eligible to avail benefits under the agribusiness components. 3)	For the project, any eligible group of interested/qualified farmers/women/landless individuals registered with any govt. department (e.g., ATMA, MAVIM, MSRLM etc.) selected in the village can apply for the Prime Minister's Farmer Scheme, based on the family's eligibility criteria (husband, wife, and dependent children over 18 years of age). The explanation of the family's composition from different families within the group, with a minimum of 11 members in each family, is necessary. The benefits of the agribusiness components should not be directed solely towards one family; attention should be paid to this aspect. 4)	The financial condition of applicant farmers' producer companies/registered farmers/self help groups is proposed to be capable enough to establish and operate agricultural input service centers/industries. 5)	The project mandates that loans sanctioned to farmers' producer companies/registered banks/financial institutions for projects exceeding Rs. 20.00 lakhs must be approved. The approved amount of the existing loan should be at least 1.25 times the minimum grant aid. 6)	The proposal of Rs. 20.00 lakhs will be funded through self-financing. In such proposals, assurance should be given that the required funds are available in the registered bank account of the group/company or will be raised from the members (include this decision in the company/group resolution). While providing financial assistance under the project, the expenditure incurred for the project from the bank account of the group/company will be considered eligible for reimbursement. 7)	If there's a loan involved, it's essential for the farmers' producer company and registered farmers/self help groups to enter into a tripartite agreement with the registered bank/financial institution and the relevant project management authority. ﻿",Application Link: https://dbt.mahapocra.gov.in ﻿ ﻿ Step 01: Registration ﻿ Step 02: Application ﻿ Step 03: Pre-sanction by Agriculture officer ﻿ Step 04: Work completion by farmer ﻿ Step 05: Payment request by farmer ﻿ Step 06: Payment approval by the project ﻿ Step 07: Payment disbursement in Aadhaar linked bank account of the beneficiary farmer ﻿,1)	Aadhaar Number 2)	Land details – 8A & 7/12 extract 3)	Cast certificate (for applicants from SC ST communities) 4)	Landless certificate (for landless farmers & labourers) 5)	Death certificate of husband (for Widows) 6)	Divorce certificate (for divorcee female) ﻿,State,"Agriculture,Rural & Environment",,"Climate Resilience, Farmers, NDKSP, Drought, Water Conservation, POCRA"
National Family Benefit Scheme (Maharashtra),nfbsm,"The scheme ""National Family Benefit Scheme (Maharashtra)"" is a social welfare scheme by the Social Justice & Special Assistance Department, Government of Maharashtra. Under this scheme, in the event of the death of the primary breadwinner of a BPL family, the family is provided with a one-time lump sum financial assistance of ₹20,000/-.","Financial assistance of ₹20,000/-.",The applicant should be a resident of Maharashtra. The applicant should be a family member or dependent of the deceased breadwinner (an earning member of the family on whom the family primarily depended for income). The family should be living Below the Poverty Line (BPL). The deceased should have been between 18 and 59 years old.,"Step 1: The interested applicant should visit (during office hours) the Collector Office/Tahsildar/Talathi of your district, and request the hard copy of the prescribed format of the application form from the concerned authority. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents, within the prescribed period (if any), to the concerned authority. Step 4: Request a receipt or acknowledgement from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable). NOTE: Ensure that the application is submitted within the prescribed period, if any.","Identity Proof of the Applicant I.e. Aadhaar Card, Voter ID Card Identity Proof of the Deceased Person i.e. Aadhaar Card Death Certificate of the Deceased Person FIR Copy Proof of Age of the Deceased Person Below Poverty Line (BPL) Card/ Ration Card Caste Certificate (if Applicable) Address Proof Bank Passbook/Bank Account Details Any Other Documents as Required",State,Social welfare & Empowerment,,"Pension, Family, BPL, Death, Below Poverty Line"
